sensor_number;inverter_number;;Xsrn;Ysrn;Zsrn
443;12;;4,02;27,8683;0,6129
444;12;;6,02;27,8683;0,6129
445;12;;8,02;27,8683;0,6129
446;12;;10,02;27,8683;0,6129
447;12;;12,02;27,8683;0,6129
448;12;;14,02;27,8683;0,6129
449;12;;16,02;27,8683;0,6129
450;12;;18,02;27,8683;0,6129
451;12;;20,02;27,8683;0,6129
452;12;;22,02;27,8683;0,6129
453;12;;24,02;27,8683;0,6129
454;12;;26,02;27,8683;0,6129
455;12;;28,02;27,8683;0,6129
456;12;;30,02;27,8683;0,6129
457;12;;32,02;27,8683;0,6129
458;12;;34,02;27,8683;0,6129
459;12;;36,02;27,8683;0,6129
460;12;;38,02;27,8683;0,6129
461;12;;0,02;28,6343;1,2556
462;12;;2,02;28,6343;1,2556
463;12;;4,02;28,6343;1,2556
464;12;;6,02;28,6343;1,2556
465;12;;8,02;28,6343;1,2556
466;12;;10,02;28,6343;1,2556
467;12;;12,02;28,6343;1,2556
468;12;;14,02;28,6343;1,2556
469;12;;16,02;28,6343;1,2556
470;12;;18,02;28,6343;1,2556
471;12;;20,02;28,6343;1,2556
472;12;;22,02;28,6343;1,2556
473;12;;24,02;28,6343;1,2556
474;12;;26,02;28,6343;1,2556
475;12;;28,02;28,6343;1,2556
476;12;;30,02;28,6343;1,2556
477;12;;32,02;28,6343;1,2556
478;12;;34,02;28,6343;1,2556
479;12;;36,02;28,6343;1,2556
480;12;;38,02;28,6343;1,2556
481;13;;0,02;30,4004;0,6129
482;13;;2,02;30,4004;0,6129
483;13;;4,02;30,4004;0,6129
484;13;;6,02;30,4004;0,6129
485;13;;8,02;30,4004;0,6129
486;13;;10,02;30,4004;0,6129
487;13;;12,02;30,4004;0,6129
488;13;;14,02;30,4004;0,6129
489;13;;16,02;30,4004;0,6129
490;13;;18,02;30,4004;0,6129
491;13;;20,02;30,4004;0,6129
492;13;;22,02;30,4004;0,6129
493;13;;24,02;30,4004;0,6129
494;13;;26,02;30,4004;0,6129
495;13;;28,02;30,4004;0,6129
496;13;;30,02;30,4004;0,6129
497;13;;32,02;30,4004;0,6129
498;13;;34,02;30,4004;0,6129
499;13;;36,02;30,4004;0,6129
500;13;;38,02;30,4004;0,6129
501;13;;0,02;31,1664;1,2556
502;13;;2,02;31,1664;1,2556
503;13;;4,02;31,1664;1,2556
504;13;;6,02;31,1664;1,2556
505;13;;8,02;31,1664;1,2556
506;13;;10,02;31,1664;1,2556
507;13;;12,02;31,1664;1,2556
508;13;;14,02;31,1664;1,2556
509;13;;16,02;31,1664;1,2556
510;13;;18,02;31,1664;1,2556
511;13;;20,02;31,1664;1,2556
512;13;;22,02;31,1664;1,2556
513;13;;24,02;31,1664;1,2556
514;13;;26,02;31,1664;1,2556
515;13;;28,02;31,1664;1,2556
516;13;;30,02;31,1664;1,2556
517;13;;32,02;31,1664;1,2556
518;13;;34,02;31,1664;1,2556
519;13;;36,02;31,1664;1,2556
520;13;;38,02;31,1664;1,2556
521;14;;0,02;32,9325;0,6129
522;14;;2,02;32,9325;0,6129
523;14;;4,02;32,9325;0,6129
524;14;;6,02;32,9325;0,6129
525;14;;8,02;32,9325;0,6129
526;14;;10,02;32,9325;0,6129
527;14;;12,02;32,9325;0,6129
528;14;;14,02;32,9325;0,6129
529;14;;16,02;32,9325;0,6129
530;14;;18,02;32,9325;0,6129
531;14;;20,02;32,9325;0,6129
532;14;;22,02;32,9325;0,6129
533;14;;24,02;32,9325;0,6129
534;14;;26,02;32,9325;0,6129
535;14;;28,02;32,9325;0,6129
536;14;;30,02;32,9325;0,6129
537;14;;32,02;32,9325;0,6129
538;14;;34,02;32,9325;0,6129
539;14;;36,02;32,9325;0,6129
540;14;;38,02;32,9325;0,6129
541;14;;0,02;33,6985;1,2556
542;14;;2,02;33,6985;1,2556
543;14;;4,02;33,6985;1,2556
544;14;;6,02;33,6985;1,2556
545;14;;8,02;33,6985;1,2556
546;14;;10,02;33,6985;1,2556
547;14;;12,02;33,6985;1,2556
548;14;;14,02;33,6985;1,2556
549;14;;16,02;33,6985;1,2556
550;14;;18,02;33,6985;1,2556
551;14;;20,02;33,6985;1,2556
552;14;;22,02;33,6985;1,2556
553;14;;24,02;33,6985;1,2556
554;14;;26,02;33,6985;1,2556
555;14;;28,02;33,6985;1,2556
556;14;;30,02;33,6985;1,2556
557;14;;32,02;33,6985;1,2556
558;14;;34,02;33,6985;1,2556
559;14;;36,02;33,6985;1,2556
560;14;;38,02;33,6985;1,2556
561;15;;0,02;35,4646;0,6129
562;15;;2,02;35,4646;0,6129
563;15;;4,02;35,4646;0,6129
564;15;;6,02;35,4646;0,6129
565;15;;8,02;35,4646;0,6129
566;15;;10,02;35,4646;0,6129
567;15;;12,02;35,4646;0,6129
568;15;;14,02;35,4646;0,6129
569;15;;16,02;35,4646;0,6129
570;15;;18,02;35,4646;0,6129
571;15;;20,02;35,4646;0,6129
572;15;;22,02;35,4646;0,6129
573;15;;24,02;35,4646;0,6129
574;15;;26,02;35,4646;0,6129
575;15;;28,02;35,4646;0,6129
576;15;;30,02;35,4646;0,6129
577;15;;32,02;35,4646;0,6129
578;15;;34,02;35,4646;0,6129
579;15;;36,02;35,4646;0,6129
580;15;;38,02;35,4646;0,6129
581;15;;0,02;36,2306;1,2556
582;15;;2,02;36,2306;1,2556
583;15;;4,02;36,2306;1,2556
584;15;;6,02;36,2306;1,2556
585;15;;8,02;36,2306;1,2556
586;15;;10,02;36,2306;1,2556
587;15;;12,02;36,2306;1,2556
588;15;;14,02;36,2306;1,2556
589;15;;16,02;36,2306;1,2556
590;15;;18,02;36,2306;1,2556
